winner_pp,winner,placer_pp,placer,payout,market_prob_pct,fair_card_pct,fair_rank_pct,fair_avg_pct,overlay_card,overlay_rank,overlay_avg,ev_per_1
2,Albus,19,Golden Tempo,1707.13,0.046,0.116,0.029,0.073,2.544,0.642,1.593,0.242
8,So Happy,16,Pavlovian,659.1,0.118,0.229,0.143,0.186,1.937,1.208,1.572,0.226
18,Further Ado,17,Six Speed,714.17,0.109,0.305,0.039,0.172,2.79,0.353,1.572,0.226
4,Litmus Test,14,Potente,547.7,0.142,0.26,0.184,0.222,1.829,1.294,1.562,0.218
22,Ocelli,4,Litmus Test,5961.31,0.013,0.036,0.005,0.02,2.735,0.357,1.546,0.206
19,Golden Tempo,2,Albus,1602.54,0.049,0.121,0.029,0.075,2.483,0.606,1.544,0.205
14,Potente,1,Renegade,180.45,0.432,0.566,0.767,0.667,1.309,1.774,1.542,0.203
6,Commandment,19,Golden Tempo,190.71,0.409,0.824,0.437,0.631,2.016,1.068,1.542,0.203
16,Pavlovian,19,Golden Tempo,1519.89,0.051,0.141,0.016,0.079,2.75,0.321,1.535,0.198
2,Albus,15,Emerging Market,1072.55,0.073,0.155,0.067,0.111,2.125,0.924,1.524,0.189
8,So Happy,18,Further Ado,63.15,1.235,1.676,2.06,1.868,1.357,1.668,1.512,0.18
19,Golden Tempo,16,Pavlovian,1442.87,0.054,0.146,0.017,0.081,2.702,0.308,1.505,0.174
14,Potente,4,Litmus Test,537.58,0.145,0.258,0.179,0.218,1.777,1.231,1.504,0.173
22,Ocelli,18,Further Ado,1854.6,0.042,0.115,0.009,0.062,2.737,0.221,1.479,0.154
4,Litmus Test,22,Ocelli,5415.59,0.014,0.038,0.005,0.021,2.612,0.345,1.478,0.153
1,Renegade,2,Albus,297.51,0.262,0.271,0.493,0.382,1.035,1.88,1.458,0.137
23,Robusta,8,So Happy,2265.37,0.034,0.078,0.022,0.05,2.261,0.653,1.457,0.136
18,Further Ado,8,So Happy,58.97,1.323,1.857,1.988,1.922,1.404,1.503,1.453,0.134
1,Renegade,18,Further Ado,35.0,2.229,2.399,4.014,3.206,1.076,1.801,1.439,0.122
23,Robusta,1,Renegade,1537.65,0.051,0.107,0.038,0.073,2.117,0.757,1.437,0.121
2,Albus,1,Renegade,359.09,0.217,0.244,0.373,0.308,1.121,1.718,1.42,0.107
14,Potente,18,Further Ado,184.25,0.423,0.829,0.356,0.593,1.959,0.84,1.4,0.092
8,So Happy,2,Albus,492.55,0.158,0.19,0.253,0.221,1.197,1.598,1.397,0.09
2,Albus,8,So Happy,545.4,0.143,0.177,0.219,0.198,1.235,1.528,1.381,0.078
6,Commandment,23,Robusta,1323.59,0.059,0.128,0.033,0.08,2.166,0.56,1.363,0.063
4,Litmus Test,17,Six Speed,2109.88,0.037,0.083,0.018,0.05,2.234,0.492,1.363,0.063
18,Further Ado,14,Potente,156.87,0.497,0.961,0.391,0.676,1.933,0.787,1.36,0.061
2,Albus,6,Commandment,407.12,0.192,0.255,0.264,0.26,1.333,1.376,1.354,0.057
17,Six Speed,4,Litmus Test,2177.09,0.036,0.079,0.017,0.048,2.21,0.479,1.345,0.049
14,Potente,8,So Happy,243.73,0.32,0.41,0.449,0.43,1.282,1.404,1.343,0.047
